important, crucial, vital, essential, significant
increase, rise, grow, expand, escalate
decrease, reduce, decline, diminish, lessen
improve, enhance, boost, refine, upgrade
big, huge, massive, enormous, immense
small, tiny, miniature, petite, slight
rich, wealthy, affluent, prosperous, well-off
poor, needy, impoverished, destitute, penniless
easy, simple, effortless, straightforward, uncomplicated
difficult, hard, challenging, demanding, arduous
fast, quick, rapid, swift, speedy
slow, sluggish, gradual, leisurely, unhurried
happy, joyful, cheerful, content, delighted
sad, miserable, gloomy, downcast, depressea
interesting, fascinating, engaging, captivating, intriguing
boring, dull, tedious, monotonous, uninspiring
beautiful, gorgeous, stunning, attractive, lovely
ugly, unattractive, hideous, unsightly, plain
strong, powerful, sturdy, robust, resilient
weak, fragile, feeble, frail, delicate