read up on | Meaning: to learn about something by reading | Example: I need to read up on the phrasal verbs before my next lesson. | Tags: 6 phrasal verbs about reading; British Council

read over | Meaning: to check something by reading it again | Example: Can you read over my email before I send it? | Tags: 6 phrasal verbs about reading; British Council

read through | Meaning: to read from the beginning to end | Example: She read through the contract very carefully. | Tags: 6 phrasal verbs about reading; British Council

flip through | Meaning: to turn pages quickly without reading in detail | Example: She flipped through a magazine at the doctor's. | Tags: 6 phrasal verbs about reading; British Council

read out | Meaning: to read something aloud | Example: The teacher read out the story to the class. | Tags: 6 phrasal verbs about reading; British Council

pore over | Meaning: to read something very carefully | Example: She pored over the map to find the best route. | Tags: 6 phrasal verbs about reading; British Council